created_at,lt,lb,kt,km,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,url,deskripsi,kota
2021-12-06,120,90,5,3,0,3,Bogor Barat,SHM,2200.0,,1000000000,https://www.rumah.com/listing-properti/dijual-rumah-harga-bawah-pasar-fasum-lengkap-kpr-bsi-dp-10-juta-akses-terjangkau-hanya-15-menit-toll-yasmin-oleh-nina-meiyanne-18971057,"Dekat Perumahan Taman Yasmin, Dekat Tol Nilai Investasi Tinggi, Rumah Menghadap Taman, SHM On Hand Dapat Cek Langsung",Bogor
2021-12-06,200,170,2,1,0,0,Parung,Lainnya,1300.0,,500000000,https://www.rumah.com/listing-properti/dijual-parung-bogor-oleh-titi-19394860,"1 unit rumah minimalis beserta 3 unit rumah petakan, Untuk 1 unit rumah kamar tidur 2, kamar mandi 1, Untuk 3 rumah letakan masing2 1 kamar tidur dan 1 kamar mandi",Bogor
2021-12-06,60,40,2,1,0,1,Gunung Putri,SHM,1300.0,,450000000,https://www.rumah.com/listing-properti/dijual-cluster-baru-paling-laris-di-cikeas-banyak-promo-oleh-budiman-19350248,"DP Mulai dari 25Juta, Anda sudah bisa mendapatkan Rumah Cluster 10 menit dari Pintu Tol Cimanggis & JORR 2 Cibubur, Akses Mudah, dekat LRT/MRT, Sangat Strategis & Berkembang!",Bogor
2021-12-06,90,79,3,2,0,1,Bogor Barat,SHM,2200.0,,800000000,https://www.rumah.com/listing-properti/dijual-hunian-exclusive-banyak-bonusnya-di-bogor-oleh-ahmad-19383896,"Seling point :Fasilitas Exclusive di Dalam Perumahan, Club House Seluas 1500m2, Swimming Pool, Gym, Taman Bermain Anak",Bogor
2021-12-06,60,63,2,2,0,1,Bogor Barat,SHM,2200.0,,593000000,https://www.rumah.com/listing-properti/dijual-cluster-modern-di-bogor-barat-oleh-ahmad-19365238,"Fasilitas Exclusive di Dalam Perumahan, Club House Seluas 1500m2, Swimming Pool, Gym, Taman Bermain Anak",Bogor
2021-12-06,60,39,2,1,0,1,Parung,SHM,2200.0,,671000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-bogor-oleh-erwin-19280905,promo *FREE PPN 10%* akan segera berakhir! Ambil unit SEKARANG! LANGSUNG UNTUNG PULUHAN JUTA!,Bogor
2021-12-06,75,45,2,2,0,1,Kemang,SHM,1300.0,,467600000,https://www.rumah.com/listing-properti/dijual-kemang-graha-insani-oleh-silva-18451100,"memiliki akses transportasi yang mudah di lalui, lokasi sangat strategis dekat dari berbagai fasilitas atau sarana umum seperti Rs, Sekolah, Pesantren, SPBU, Kantor Polisi, Supermarket, Pasar Tradisional.",Bogor
2021-12-06,50,36,2,1,0,1,Bojonggede,SHM,1300.0,,200000000,https://www.rumah.com/listing-properti/dijual-al-fauz-residence-4-oleh-ade-lutfi-19383612,"Dekat akses tol, Dekat jalan utama, 15menit Stasiun Depok Baru, 10menit Stasiun Citayam, 15menit Terminal utama kota Depok",Bogor
2021-12-06,78,45,2,1,0,1,Bojonggede,SHM,1300.0,,310000000,https://www.rumah.com/listing-properti/dijual-zein-residence-oleh-ade-lutfi-18935985,"15menit Stasiun Depok Baru, 8menit Stasiun Citayam, 15menit Terminal utama kota Depok, 3menit SPBU Pertamina, ATM,Alfamart,Indomart dll, Taman Bermain Anak dan Keluarga",Bogor
2021-12-06,72,45,2,2,0,1,Gunung Putri,SHM,2200.0,,820000000,https://www.rumah.com/listing-properti/dijual-askara-residence-oleh-nova-tiara-19394781,Rumah Baru Cluster Cibubur,Bogor
2021-12-06,84,36,2,1,0,1,Parung,SHM,1300.0,,599000000,https://www.rumah.com/listing-properti/dijual-kemang-eminence-bogor-oleh-aditya-santoso-19253196,Perumahan cluster baru di jalur utama Bogor dekat dengan tol BORR dan stasiun kereta Cliebut,Bogor
2021-12-06,1500,1200,8,6,0,8,Cileungsi,SHM,17600.0,,9900000000,https://www.rumah.com/listing-properti/dijual-limus-nunggal-cileungsi-bogor-oleh-sancoyo-19056000,"Akses mobil besar 40 ft bisa masuk, parkir mobil cukup luas",Bogor
2021-12-06,699,350,5,5,0,2,Babakan Madang,SHM,3500.0,,7300000000,https://www.rumah.com/listing-properti/dijual-rumah-bagus-plus-kolam-renang-siap-huni-Babakan Madang-city-oleh-dian-permana-saputra-18852353,"Plus kolam renang Babakan Madang, dekat dengan fasilitas Babakan Madang, dan pusat pembelanjaan, exit tol hanya 5 menit",Bogor
2021-12-06,120,70,3,3,0,2,Babakan Madang,SHGB,2200.0,,1538200000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-agra-deluxe-70-120-oleh-asa-pertiwi-19057208,Dekat tol dan stasiun LRT,Bogor
2021-12-06,60,50,3,2,0,1,Babakan Madang,SHGB,2200.0,,891500000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-aruna-deluxe-50-60-oleh-asa-pertiwi-19057144,Dekat tol dan stasiun LRT,Bogor
2021-12-06,60,40,2,1,0,1,Babakan Madang,SHGB,2200.0,,811400000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-aruna-40-60-oleh-asa-pertiwi-19056958,Dekat tol dan stasiun LRT,Bogor
2021-12-06,60,60,2,1,0,1,Bojonggede,SHM,900.0,,420000000,https://www.rumah.com/listing-properti/dijual-rumah-cantik-didalam-komplek-perumahan-oleh-james-umboh-19072727,"13 menit ke stasiun kereta, 22 menit ke Mall CCM, pintu tol citereup&Babakan Madang sirkuit",Bogor
2021-12-06,72,62,3,2,0,2,Cibinong,SHGB,2200.0,,800000000,https://www.rumah.com/listing-properti/dijual-emerald-city-cibinong-oleh-m-gatot-aryo-wibowo-19273403,"15 menit gerbang tol Babakan Madang dan citeureup, 5 menit cibinong city mall, Al Azhar Islamic School",Bogor
